time;logid;split;acdcalls;vdn;abncalls;transferred;holdcalls;auxoutoffcalls;i_acdtime;i_acwintime;holdtime;workmode;direction;auxreason;auxoutofftime;i_stafftime;i_availtime;i_auxtime;ansringtime;abntime;holdabncalls;holdacdtime
2021/06/05 12:33:06;2119674;1169;0;2000445;0;0;0;0;0;0;0;30;2;;0;184;88;29;0;0;0;0
2021/06/07 11:51:37;2120357;1082;1;2000347;0;0;0;0;1085;9;0;30;2;;0;1293;194;0;2;0;0;0
2021/06/07 20:00:29;2125635;1048;0;;0;0;0;0;0;0;0;220;0;;0;27;0;0;0;0;0;0
2021/06/07 20:00:29;2125635;1123;0;;0;0;0;0;0;0;0;220;0;;0;27;0;0;0;0;0;0
2021/06/07 15:21:32;2109778;1059;0;;0;0;0;0;0;0;0;50;0;7;0;1283;0;1283;0;0;0;0
2021/06/07 14:07:05;2128721;6300;0;;0;0;0;0;0;0;0;50;2;0;0;423;0;423;0;0;0;0
2021/06/05 16:17:29;2800021;1004;1;2000010;0;0;1;0;263;51;88;30;2;;0;1049;732;0;0;0;0;88
2021/06/06 11:16:03;2112062;1035;0;2000111;0;0;0;0;485;0;0;30;2;;0;962;83;0;0;0;0;0
2021/06/06 11:16:03;2112062;1036;0;2000111;0;0;0;0;0;0;0;30;2;;0;962;83;0;0;0;0;0
2021/06/06 11:16:03;2112062;1037;0;2000111;0;0;0;0;0;0;0;30;2;;0;962;83;0;0;0;0;0
2021/06/06 11:16:03;2112062;1038;0;2000111;0;0;0;0;0;0;0;30;2;;0;962;83;0;0;0;0;0
2021/06/07 11:52:56;2106650;6300;0;;0;0;0;0;0;0;0;50;0;0;0;1372;0;1372;0;0;0;0
2021/06/07 12:13:40;2801068;1050;0;2000197;0;0;0;0;0;0;0;30;2;;0;551;130;112;0;0;0;0
2021/06/07 12:13:40;2801068;1095;0;2000197;0;0;0;0;300;6;0;30;2;;0;551;130;112;0;0;0;0
2021/06/07 12:13:40;2801068;1124;0;2000197;0;0;0;0;0;0;0;30;2;;0;551;130;112;0;0;0;0
